Rua: ['Avenida João XXI', 'Avenida Imaculada Conceição'] (2) ; Origem: 210959966 ; Destino: 210962203 ; Oneway: True ; Highway: primary
Rua: Avenida Imaculada Conceição (6) ; Origem: 210959966 ; Destino: 3028486900 ; Oneway: True ; Highway: primary
Rua: Avenida João XXI (9) ; Origem: 210962203 ; Destino: 210581697 ; Oneway: True ; Highway: primary
Rua: Rua Doutor Francisco Duarte (2) ; Origem: 211283281 ; Destino: 6135208347 ; Oneway: True ; Highway: residential
Rua: Praceta Doutor Luís de Almeida Braga ; Origem: 211284516 ; Destino: 211284519 ; Oneway: True ; Highway: residential
Rua: Praceta Doutor Luís de Almeida Braga (2) ; Origem: 211284516 ; Destino: 211284761 ; Oneway: False ; Highway: residential
Rua: Praceta Doutor Luís de Almeida Braga (3) ; Origem: 211284516 ; Destino: 1675798693 ; Oneway: False ; Highway: residential
Rua: Praceta Doutor Luís de Almeida Braga (4) ; Origem: 211284519 ; Destino: 211284520 ; Oneway: True ; Highway: residential
Rua: Praceta Doutor Luís de Almeida Braga (5) ; Origem: 211284519 ; Destino: 244035696 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Francisco Duarte (3) ; Origem: 211284520 ; Destino: 1584764126 ; Oneway: True ; Highway: residential
Rua: Praceta Doutor Luís de Almeida Braga (6) ; Origem: 211284761 ; Destino: 211284516 ; Oneway: False ; Highway: residential
Rua: Avenida João XXI (10) ; Origem: 211284761 ; Destino: 1462982174 ; Oneway: True ; Highway: primary
Rua: Praceta Doutor Luís de Almeida Braga (7) ; Origem: 211285767 ; Destino: 211284516 ; Oneway: True ; Highway: residential
Rua: Rua Doutor Francisco Duarte (4) ; Origem: 211285767 ; Destino: 211284520 ; Oneway: True ; Highway: residential
Rua: Travessa Professor Machado Vilela ; Origem: 211308050 ; Destino: 244035610 ; Oneway: True ; Highway: residential
Rua: Rua Professor Machado Vilela ; Origem: 211308050 ; Destino: 244035691 ; Oneway: True ; Highway: residential
Rua: Rua Bernardo Sequeira ; Origem: 211309060 ; Destino: 244035693 ; Oneway: False ; Highway: tertiary
Rua: Rua Professor Machado Vilela (2) ; Origem: 211309060 ; Destino: 1675798710 ; Oneway: False ; Highway: residential
Rua: Rua Cândido de Oliveira ; Origem: 211309060 ; Destino: 1763940353 ; Oneway: False ; Highway: residential
Rua: Rua Bernardo Sequeira (2) ; Origem: 211309060 ; Destino: 1675798722 ; Oneway: False ; Highway: tertiary
Rua: Rua de Baixo ; Origem: 211311470 ; Destino: 243000947 ; Oneway: True ; Highway: tertiary
Rua: Rua São Domingos ; Origem: 211316921 ; Destino: 2745478281 ; Oneway: False ; Highway: residential
Rua: Rua de São Victor ; Origem: 211316921 ; Destino: 224599593 ; Oneway: True ; Highway: tertiary
Rua: Rua de São Victor (2) ; Origem: 211316924 ; Destino: 224599593 ; Oneway: False ; Highway: tertiary
Rua: Rua Dom Pedro V ; Origem: 211316924 ; Destino: 213682107 ; Oneway: True ; Highway: tertiary
Rua: Avenida Padre Júlio Fragata ; Origem: 211327581 ; Destino: 211334527 ; Oneway: True ; Highway: trunk
Rua: Rua Dom Pedro V (2) ; Origem: 211327588 ; Destino: 211327581 ; Oneway: True ; Highway: tertiary
Rua: Rua Dom Pedro V (3) ; Origem: 211327588 ; Destino: 1300547751 ; Oneway: False ; Highway: tertiary
Rua: Rua Dom Pedro V (4) ; Origem: 211327592 ; Destino: 1300547751 ; Oneway: False ; Highway: tertiary
Rua: Rua Professor Doutor Elísio de Moura ; Origem: 211327592 ; Destino: 241942007 ; Oneway: False ; Highway: residential
Rua: Avenida Padre Júlio Fragata (2) ; Origem: 211334527 ; Destino: 211376184 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 211334527 ; Destino: 211384249 ; Oneway: True ; Highway: trunk_link
Rua:  ; Origem: 211334531 ; Destino: 253987634 ; Oneway: True ; Highway: primary
Rua: Avenida Padre Júlio Fragata (3) ; Origem: 211338605 ; Destino: 213268311 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 211342668 ; Destino: 5121877236 ; Oneway: True ; Highway: trunk_link
Rua: Avenida Padre Júlio Fragata (4) ; Origem: 211342676 ; Destino: 215738886 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 211342676 ; Destino: 512540235 ; Oneway: True ; Highway: trunk_link
Rua: Avenida Frei Bartolomeu dos Mártires ; Origem: 211374355 ; Destino: 232375149 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 211374355 ; Destino: 232376495 ; Oneway: True ; Highway: trunk_link
Rua: Avenida Padre Júlio Fragata (5) ; Origem: 211374357 ; Destino: 4643306970 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 211374357 ; Destino: 1235091606 ; Oneway: True ; Highway: trunk_link
Rua: ['Rua Frei Bartolomeu dos Mártires', 'Avenida Frei Bartolomeu dos Mártires'] ; Origem: 211376184 ; Destino: 1457880225 ; Oneway: True ; Highway: trunk
Rua: Avenida João Paulo II ; Origem: 211383595 ; Destino: 211406339 ; Oneway: True ; Highway: primary
Rua: Avenida João XXI (11) ; Origem: 211383600 ; Destino: 224600866 ; Oneway: True ; Highway: primary
